Valeurs lues      : 67584
Timestamps lus    : 68096
Date: 2026-05-04 14:37:41 | Valeur: -13468
Date: 2026-05-04 14:37:41 | Valeur: -14588
Date: 2026-05-04 14:37:41 | Valeur: -15486
Date: 2026-05-04 14:37:41 | Valeur: -11756
Date: 2026-05-04 14:37:41 | Valeur: -13765
Date: 2026-05-04 14:37:41 | Valeur: -12599
Date: 2026-05-04 14:37:41 | Valeur: -15122
Date: 2026-05-04 14:37:41 | Valeur: -11755
Date: 2026-05-04 14:37:41 | Valeur: -15007
Date: 2026-05-04 14:37:41 | Valeur: -13517
Date: 2026-05-04 14:37:41 | Valeur: -11351
Date: 2026-05-04 14:37:41 | Valeur: -19365
Date: 2026-05-04 14:37:41 | Valeur: -13269
Date: 2026-05-04 14:37:41 | Valeur: -13575
Date: 2026-05-04 14:37:41 | Valeur: -14808
Date: 2026-05-04 14:37:41 | Valeur: -12334
Date: 2026-05-04 14:37:41 | Valeur: -10370
Date: 2026-05-04 14:37:41 | Valeur: -10586
Date: 2026-05-04 14:37:41 | Valeur: -14529
Date: 2026-05-04 14:37:41 | Valeur: -12333
Date: 2026-05-04 14:37:41 | Valeur: -13065
Date: 2026-05-04 14:37:41 | Valeur: -12680
Date: 2026-05-04 14:37:41 | Valeur: -10780
Date: 2026-05-04 14:37:41 | Valeur: -12926
Date: 2026-05-04 14:37:41 | Valeur: -11771
Date: 2026-05-04 14:37:41 | Valeur: -13027
Date: 2026-05-04 14:37:41 | Valeur: -12224
Date: 2026-05-04 14:37:41 | Valeur: -9899
Date: 2026-05-04 14:37:41 | Valeur: -11403
Date: 2026-05-04 14:37:41 | Valeur: -10606
Date: 2026-05-04 14:37:41 | Valeur: -15296
Date: 2026-05-04 14:37:41 | Valeur: -14089
Date: 2026-05-04 14:37:41 | Valeur: -14543
Date: 2026-05-04 14:37:41 | Valeur: -13593
Date: 2026-05-04 14:37:41 | Valeur: -13155
Date: 2026-05-04 14:37:41 | Valeur: -12785
Date: 2026-05-04 14:37:41 | Valeur: -12419
Date: 2026-05-04 14:37:41 | Valeur: -11288
Date: 2026-05-04 14:37:41 | Valeur: -14459
Date: 2026-05-04 14:37:41 | Valeur: -13026
Date: 2026-05-04 14:37:41 | Valeur: -11881
Date: 2026-05-04 14:37:41 | Valeur: -14724
Date: 2026-05-04 14:37:41 | Valeur: -11401
Date: 2026-05-04 14:37:41 | Valeur: -11213
Date: 2026-05-04 14:37:41 | Valeur: -11507
Date: 2026-05-04 14:37:41 | Valeur: -13287
Date: 2026-05-04 14:37:41 | Valeur: -15612
Date: 2026-05-04 14:37:41 | Valeur: -12865
Date: 2026-05-04 14:37:41 | Valeur: -13314
Date: 2026-05-04 14:37:41 | Valeur: -16162
Date: 2026-05-04 14:37:41 | Valeur: -13384
Date: 2026-05-04 14:37:41 | Valeur: -10980
Date: 2026-05-04 14:37:41 | Valeur: -12264
Date: 2026-05-04 14:37:41 | Valeur: -10436
Date: 2026-05-04 14:37:41 | Valeur: -9815
Date: 2026-05-04 14:37:41 | Valeur: -13177
Date: 2026-05-04 14:37:41 | Valeur: -10072
Date: 2026-05-04 14:37:41 | Valeur: -12010
Date: 2026-05-04 14:37:41 | Valeur: -13430
Date: 2026-05-04 14:37:41 | Valeur: -15864
Date: 2026-05-04 14:37:41 | Valeur: -10578
Date: 2026-05-04 14:37:41 | Valeur: -14389
Date: 2026-05-04 14:37:41 | Valeur: -14463
Date: 2026-05-04 14:37:41 | Valeur: -12674
Date: 2026-05-04 14:37:41 | Valeur: -11826
Date: 2026-05-04 14:37:41 | Valeur: -13111
Date: 2026-05-04 14:37:41 | Valeur: -12081
Date: 2026-05-04 14:37:41 | Valeur: -10737
Date: 2026-05-04 14:37:41 | Valeur: -13999
Date: 2026-05-04 14:37:41 | Valeur: -11802
Date: 2026-05-04 14:37:41 | Valeur: -13465
Date: 2026-05-04 14:37:41 | Valeur: -14755
Date: 2026-05-04 14:37:41 | Valeur: -13539
Date: 2026-05-04 14:37:41 | Valeur: -10670
Date: 2026-05-04 14:37:41 | Valeur: -12524
Date: 2026-05-04 14:37:41 | Valeur: -9953
Date: 2026-05-04 14:37:41 | Valeur: -12215
Date: 2026-05-04 14:37:41 | Valeur: -14378
Date: 2026-05-04 14:37:41 | Valeur: -10004
Date: 2026-05-04 14:37:41 | Valeur: -10586
Date: 2026-05-04 14:37:41 | Valeur: -14353
Date: 2026-05-04 14:37:41 | Valeur: -11116
Date: 2026-05-04 14:37:41 | Valeur: -12567
Date: 2026-05-04 14:37:41 | Valeur: -12903
Date: 2026-05-04 14:37:41 | Valeur: -11418
Date: 2026-05-04 14:37:41 | Valeur: -12289
Date: 2026-05-04 14:37:41 | Valeur: -12258
Date: 2026-05-04 14:37:41 | Valeur: -12689
Date: 2026-05-04 14:37:42 | Valeur: -13658
Date: 2026-05-04 14:37:42 | Valeur: -14421
Date: 2026-05-04 14:37:42 | Valeur: -12039
Date: 2026-05-04 14:37:42 | Valeur: -11732
Date: 2026-05-04 14:37:42 | Valeur: -13635
Date: 2026-05-04 14:37:42 | Valeur: -11482
Date: 2026-05-04 14:37:42 | Valeur: -12094
Date: 2026-05-04 14:37:42 | Valeur: -15116
Date: 2026-05-04 14:37:42 | Valeur: -12483
Date: 2026-05-04 14:37:42 | Valeur: -11134
Date: 2026-05-04 14:37:42 | Valeur: -13841
Date: 2026-05-04 14:37:42 | Valeur: -12055
Date: 2026-05-04 14:37:42 | Valeur: -12494
Date: 2026-05-04 14:37:42 | Valeur: -13219
Date: 2026-05-04 14:37:42 | Valeur: -13038
Date: 2026-05-04 14:37:42 | Valeur: -14816
Date: 2026-05-04 14:37:42 | Valeur: -13157
Date: 2026-05-04 14:37:42 | Valeur: -10977
Date: 2026-05-04 14:37:42 | Valeur: -12060
Date: 2026-05-04 14:37:42 | Valeur: -13456
Date: 2026-05-04 14:37:42 | Valeur: -12905
Date: 2026-05-04 14:37:42 | Valeur: -12952
Date: 2026-05-04 14:37:42 | Valeur: -10877
Date: 2026-05-04 14:37:42 | Valeur: -13113
Date: 2026-05-04 14:37:42 | Valeur: -12647
Date: 2026-05-04 14:37:42 | Valeur: -11275
Date: 2026-05-04 14:37:42 | Valeur: -13777
Date: 2026-05-04 14:37:42 | Valeur: -14541
Date: 2026-05-04 14:37:42 | Valeur: -11549
Date: 2026-05-04 14:37:42 | Valeur: -14475
Date: 2026-05-04 14:37:42 | Valeur: -12334
Date: 2026-05-04 14:37:42 | Valeur: -12092
Date: 2026-05-04 14:37:42 | Valeur: -11992
Date: 2026-05-04 14:37:42 | Valeur: -15549
Date: 2026-05-04 14:37:42 | Valeur: -13953
Date: 2026-05-04 14:37:42 | Valeur: -11409
Date: 2026-05-04 14:37:42 | Valeur: -11144
Date: 2026-05-04 14:37:42 | Valeur: -11604
Date: 2026-05-04 14:37:42 | Valeur: -14756
